function_name,return_type,arg_types,arg_count,dll_name
GetPackageFamilyName,LONG,HANDLE;UINT32 *;PWSTR,3,kernel.appcore.dll
GetPackageFamilyNameFromToken,LONG,HANDLE;UINT32 *;PWSTR,3,kernel.appcore.dll
GetPackagePath,LONG,const PACKAGE_ID *;const UINT32;UINT32 *;PWSTR,4,kernel.appcore.dll
GetPackagePathByFullName,LONG,PCWSTR;UINT32 *;PWSTR,3,kernel.appcore.dll
GetStagedPackagePathByFullName,LONG,PCWSTR;UINT32 *;PWSTR,3,kernel.appcore.dll
GetPackagePathByFullName2,LONG,PCWSTR;PackagePathType;UINT32 *;PWSTR,4,kernel.appcore.dll
GetStagedPackagePathByFullName2,LONG,PCWSTR;PackagePathType;UINT32 *;PWSTR,4,kernel.appcore.dll
GetCurrentPackageInfo2,LONG,const UINT32;PackagePathType;UINT32 *;BYTE *;UINT32 *,5,kernel.appcore.dll
GetCurrentPackagePath2,LONG,PackagePathType;UINT32 *;PWSTR,3,kernel.appcore.dll
GetCurrentApplicationUserModelId,LONG,UINT32 *;PWSTR,2,kernel.appcore.dll
GetApplicationUserModelId,LONG,HANDLE;UINT32 *;PWSTR,3,kernel.appcore.dll
